kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
765;1250-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;1320-1420;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1520-1720;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1620-0120;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
783;1930-2000;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2000-2030;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2030-2100;;ALG;Radio Algiers Int.;F;NAf;;1;;
783;2100-2130;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2130-2200;;ALG;Radio Algiers Int.;E;NAf;;1;;
783;2200-2230;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2230-2300;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;0300-0530;;SYR;Radio Damascus;HB;ME;;2;;
783;1800-1900;;SYR;Radio Damascus;D;ME;;1;;
783;1900-2000;;SYR;Radio Damascus;F;ME;;1;;
783;2155-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
800;0000-0300;;USA;Trans World Radio;S;CUB;/BES;1;;
800;0300-0800;;USA;Trans World Radio;S;Car;/BES;1;;[0318]
800;0800-0945;;USA;Trans World Radio;P;SAm;/BES;1;;
800;0945-1000;Su;USA;Trans World Radio;BNI;SAm;/BES;1;;
800;0945-1000;Sa;USA;Trans World Radio;MX;SAm;/BES;1;;
800;0945-1000;Mo-Fr;USA;Trans World Radio;P;SAm;/BES;1;;
800;1000-1230;;USA;Trans World Radio;S;Car;/BES;1;;
800;2130-2300;;USA;Trans World Radio;S;Car;/BES;1;;
800;2300-2400;;USA;Trans World Radio;E;Car;/BES;1;;
801;0330-0730;;KRE;PBS Pyongyang Pansong;K;FE;hw;6;2503;0405
801;0730-1330;;KRE;PBS Pyongyang Pansong;K;FE;hw;6;2503;0405
801;1330-1830;;KRE;PBS Pyongyang Pansong;K;FE;hw;6;2503;0405
801;2100-2130;;KRE;PBS Pyongyang Pansong;K;FE;hw;6;2503;0405
801;2130-0330;;KRE;PBS Pyongyang Pansong;K;FE;hw;6;2503;0405
801;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;0505;
801;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;0505;
801;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;0505;
801;2030-2100;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;0505;
801;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;0505;
810;0702-0705;Mo-Fr;MKD;Macedonian Radio;E;SEE;;2;;
810;1202-1207;Mo-Fr;MKD;Macedonian Radio;E;SEE;;2;;
810;1504-1510;Mo-Fr;MKD;Macedonian Radio;E;SEE;;2;;
810;1730-1800;Mo-Fr;MKD;Macedonian Radio;F;SEE;;2;;
810;1730-2000;SaSu;MKD;Macedonian Radio;MC;SEE;;2;;
810;1800-1830;Mo-Fr;MKD;Macedonian Radio;BU;SEE;;2;;
810;1830-1900;Mo-Fr;MKD;Macedonian Radio;GR;SEE;;2;;
810;1900-1930;Mo-Fr;MKD;Macedonian Radio;AL;SEE;;2;;
810;1930-2000;Mo-Fr;MKD;Macedonian Radio;SR;SEE;;2;;
810;2000-1730;;MKD;Macedonian Radio;MC;SEE;;2;;[1117]
819;0715-0730;Mo;IND;FEBA India;HI;SAs;dn;1;;
819;2200-1600;;VTN;Voice of Vietnam 4;Vn;VTN;b;1;;
837;0255-0700;;ETH;Radio Oromiya;OO;EAf;;1;;
837;0900-1100;;ETH;Radio Oromiya;OO;EAf;;1;;
837;1430-2000;;ETH;Radio Oromiya;OO;EAf;;1;;[0218]
840;0000-2400;;B;Rádio Bandeirantes, SP;P;B;sb;1;;[0216]
845;0253-0830;;ERI;Voice of Broad Masses;Vn;EAf;;1;;[1116]
845;1325-1845;;ERI;Voice of Broad Masses;Vn;EAf;;1;;[1017]
846;0400-0600;;I;IRRS Milano;E;Eu;/I-eu;2;;
846;1700-1800;;I;IRRS Milano;E;Eu;/I-eu;2;;
846;1800-1900;Mo-Th;I;IRRS Milano;E;Eu;/I-eu;2;;
846;1800-1900;Fr-Su;I;IRRS Milano;E;Eu;/I-eu;2;;
846;1900-0000;;I;IRRS Milano;E;Eu;/I-eu;2;;
846;0020-0500;;IND;AIR Ahmedabad;GU;SAs;ah;1;;
846;0630-0930;;IND;AIR Ahmedabad;GU;SAs;ah;1;;
846;0930-1000;Su;IND;AIR Ahmedabad;GU;SAs;ah;1;;
846;1030-1130;Su;IND;AIR Ahmedabad;GU;SAs;ah;1;;
846;1130-1743;;IND;AIR Ahmedabad;GU;SAs;ah;1;;[0318]
846;1730-1735;;IND;AIR Delhi;E;SAs;ah;1;;[0318]
846;1735-1740;;IND;AIR Delhi;HI;SAs;ah;1;;
846;0745-0005;;TWN;Han Sheng V.o.Kuanghua;M;FE;y;1;;
846;0030-0100;Su;USA;World of Radio;E;Eu;/I-eu;4;;
846;2100-2130;Su;USA;World of Radio;E;Eu;/I-eu;2;;
846;2330-2400;Sa;USA;World of Radio;E;Eu;/I-eu;5;;
855;0330-0730;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;0730-1330;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;1330-1830;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;1830-2030;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;2030-2100;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;2130-0330;;KRE;PBS Pyongyang Pansong;K;FE;sw;6;2503;0405
855;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
855;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
855;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
855;1800-2000;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
855;2000-2030;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
855;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;0505;
864;0030-0035;;IND;AIR Delhi;HI;SAs;sg;1;;
864;0035-0040;;IND;AIR Delhi;E;SAs;sg;1;;
864;0245-0300;;IND;AIR Delhi;E;SAs;sg;1;;
864;1230-1235;;IND;AIR Delhi;E;SAs;sg;1;;
864;1330-1347;25Jan;IND;AIR Delhi;E;SAs;sg;1;0101;2501
864;1347-1404;25Jan;IND;AIR Delhi;HI;SAs;sg;1;0101;2501
864;1512-1530;;IND;AIR Delhi;HI;SAs;sg;1;;
864;1530-1545;;IND;AIR Delhi;E;SAs;sg;1;;
864;1730-1735;;IND;AIR Delhi;E;SAs;sg;1;;
864;1135-1140;;IND;AIR North-East;E;SAs;sg;1;;
864;1235-1400;;IND;AIR North-East;E;SAs;sg;1;;
864;0025-0400;;IND;AIR Shillong;KHS;SAs;sg;1;;
864;0300-0305;;IND;AIR Shillong;E;SAs;sg;1;;
864;0400-0430;;IND;AIR Shillong;KHS;SAs;sg;1;;
864;0335-0656;26Jan;IND;AIR Shillong;KHS;SAs;sg;1;0101;2601
864;0656-0931;;IND;AIR Shillong;KHS;SAs;sg;1;;
864;1056-1742;;IND;AIR Shillong;KHS;SAs;sg;1;;
864;1210-1245;;IND;AIR Shillong;GAR;SAs;sg;1;;
864;1245-1300;;IND;AIR Shillong;JAI;SAs;sg;1;;
864;1300-1430;irr;IND;AIR Shillong;E;SAs;sg;1;;
864;1435-1440;;IND;AIR Shillong;E;SAs;sg;1;;
864;1510-1512;;IND;AIR Shillong;E;SAs;sg;1;;
864;0200-0300;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1500-1530;;USA;Radio Liberty;UZ;CAs;/ARM;1;;
864;1530-1600;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1610-1625;;USA;Trans World Radio;TK;CAs;/ARM;1;;[1015]
864;1625-1640;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
864;1640-1655;SaSu;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1640-1710;Mo-Fr;USA;Trans World Radio;R;CAs;/ARM;1;;[0917]
864;1655-1710;Sa;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1655-1710;Su;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1710-1740;;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1740-1755;Th,Su;USA;Trans World Radio;CHE;CAs;/ARM;1;;
864;1740-1755;Fr;USA;Trans World Radio;KMY;CAs;/ARM;1;;
864;1740-1755;We;USA;Trans World Radio;LAK;CAs;/ARM;1;;
864;1740-1755;Tu;USA;Trans World Radio;LEZ;CAs;/ARM;1;;
864;1740-1755;Mo;USA;Trans World Radio;TBS;CAs;/ARM;1;;
864;1740-1755;Sa;USA;Trans World Radio;TT;CAs;/ARM;1;;
873;0910-1600;;CHN;China Huayi BC;M;FE;f;1;;[0318]
873;0600-0800;;HNG;Magyar Radio 4;HR;HNG;lh;2;;
873;0600-0800;;HNG;Magyar Radio 4;HR;HNG;p;2;;
873;0800-1000;;HNG;Magyar Radio 4;D;HNG;lh;2;;[0418]
873;0800-1000;;HNG;Magyar Radio 4;D;HNG;p;2;;
873;1000-1100;;HNG;Magyar Radio 4;VX;HNG;lh;2;;
873;1000-1100;;HNG;Magyar Radio 4;VX;HNG;p;2;;
873;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;lh;2;;
873;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;lh;2;;
873;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;lh;2;;
873;1100-1130;Fr;HNG;Magyar Radio 4;UK;HNG;p;2;;
873;1100-1130;Mo;HNG;Magyar Radio 4;SV;HNG;p;2;;
873;1100-1130;Tu;HNG;Magyar Radio 4;RU;HNG;p;2;;
873;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;p;2;;
873;1100-1130;We;HNG;Magyar Radio 4;GR;HNG;lh;2;;
873;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;lh;2;;
873;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;lh;2;;
873;1100-1130;Sa;HNG;Magyar Radio 4;AR;HNG;p;2;;
873;1100-1130;Th;HNG;Magyar Radio 4;BU;HNG;p;2;;
873;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;p;2;;
873;1130-1200;Sa;HNG;Magyar Radio 4;PO;HNG;lh;2;;
873;1200-1400;;HNG;Magyar Radio 4;SR;HNG;lh;2;;
873;1200-1400;;HNG;Magyar Radio 4;SR;HNG;p;2;;
873;1400-1600;;HNG;Magyar Radio 4;RO;HNG;lh;2;;
873;1400-1600;;HNG;Magyar Radio 4;RO;HNG;p;2;;
873;1600-1800;;HNG;Magyar Radio 4;SK;HNG;p;2;;
873;1600-1800;;HNG;Magyar Radio 4;SK;HNG;lh;2;;
873;0130-0145;Sa-Tu;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;0145-0200;126;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;1830-1900;;KRE;PBS Pyongyang Pansong;K;FE;sn;6;2503;0405
873;1900-2030;;KRE;PBS Pyongyang Pansong;K;FE;sn;6;2503;0405
873;1800-1830;;KRE;PBS Pyongyang Pansong;K;FE;sn;1;0505;
873;1830-2000;;KRE;PBS Pyongyang Pansong;K;FE;sn;1;0505;
873;0300-1900;;MDA;R.Moldova Actualitati;RO;MDA;;2;;
873;0600-0610;SaSu;MDA;R.Moldova Actualitati;R;MDA;;2;;[1017]
873;0600-0615;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;0800-0805;;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1100-1105;SaSu;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1100-1110;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1500-1510;We-Mo;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1715-1735;We;MDA;R.Moldova Actualitati;HB;MDA;;2;;
873;1715-1735;Tu;MDA;R.Moldova Actualitati;VX;MDA;;2;;
873;1715-1755;Fr;MDA;R.Moldova Actualitati;BU;MDA;;2;;
873;1715-1755;Mo;MDA;R.Moldova Actualitati;GAG;MDA;;2;;
873;1715-1755;Th;MDA;R.Moldova Actualitati;UK;MDA;;2;;
873;1735-1755;Tu-We;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1800-1815;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;[1216]
873;1815-1830;Tu-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1630-1700;Sa;USA;Radio Liberty;RO;MDA;/MDA;2;;
873;1725-1755;Sa;USA;Radio Liberty;R;MDA;/MDA;2;;
873;1725-1755;Su;USA;Radio Liberty;RO;MDA;/MDA;2;;
873;1815-1845;Mo;USA;Radio Liberty;R;MDA;/MDA;2;;
873;1930-2000;Mo;USA;Radio Liberty;RO;MDA;/MDA;2;;
880;0000-2400;;B;Rádio Inconfidência;P;B;c;1;;
882;0000-0030;;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0030-0045;Fr-Mo;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;0030-0045;Tu-Th;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0045-0100;Sa;IND;Trans World Radio;KON;SAs;/CLN-p;1;;
882;0045-0100;Mo-Fr;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0045-0100;Su;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;0100-0115;Fr-Sa;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;0100-0115;We;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;0100-0115;Th;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;0100-0130;Su;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
882;0100-0130;Mo-Tu;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;0115-0130;We-Th;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;0115-0130;Sa;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;0115-0130;Fr;IND;Trans World Radio;MV;SAs;/CLN-p;1;;
882;1200-1215;;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1215-1230;Tu;IND;Trans World Radio;BNJ;SAs;/CLN-p;1;;
882;1215-1230;Th;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1215-1230;Sa;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;1215-1230;We;IND;Trans World Radio;KON;SAs;/CLN-p;1;;
882;1215-1230;Mo;IND;Trans World Radio;KOY;SAs;/CLN-p;1;;
882;1230-1245;Mo;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1230-1245;Sa;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1230-1245;We-Th;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1230-1245;Su;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
882;1230-1245;Tu;IND;Trans World Radio;VAR;SAs;/CLN-p;1;;
882;1245-1300;SaSu;IND;Trans World Radio;SRA;SAs;/CLN-p;1;;
882;1245-1315;Mo-Fr;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1300-1315;SaSu;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1315-1345;Mo-Fr;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1315-1345;Sa;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1315-1345;Su;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1345-1400;Su;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1345-1400;Mo-Sa;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1400-1415;SaSu;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1400-1415;Mo-Fr;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1415-1430;Sa;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1415-1445;Su-Fr;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;
882;1430-1500;Sa;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1445-1515;Mo-Fr;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1500-1515;SaSu;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1515-1530;;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1530-1545;Su-Fr;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1530-1545;Sa;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1545-1615;SaSu;IND;Trans World Radio;E;SAs;/CLN-p;1;;
882;1545-1615;Mo-Fr;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;2230-2300;;IND;Trans World Radio;BE;SAs;/CLN-p;1;;
882;2300-2315;Mo-Tu;IND;Trans World Radio;KKN;SAs;/CLN-p;1;;
882;2300-2330;We-Su;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;2315-2330;Mo;IND;Trans World Radio;KTW;SAs;/CLN-p;1;;
882;2315-2330;Tu;IND;Trans World Radio;KUT;SAs;/CLN-p;1;;
882;2330-2400;;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
909;0305-0320;Sa;ROU;Radio Cluj;UK;UKR;;2;;
909;1803-1900;Fr;ROU;Radio Constanta;AR;ROU;;2;;
909;1803-1900;Mo;ROU;Radio Constanta;GR;ROU;;2;;
909;1803-1900;We;ROU;Radio Constanta;R;ROU;;2;;
909;1803-1900;Th;ROU;Radio Constanta;TT;ROU;;2;;
909;1803-1900;Tu;ROU;Radio Constanta;TU;ROU;;2;;
909;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
909;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
909;0300-0700;;USA;Voice of America;E;SAf;/BOT;1;;
909;1600-1700;;USA;Voice of America;E;Af;/BOT;1;;
909;1700-1800;;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1800-1900;SaSu;USA;Voice of America;E;Af;/BOT;1;;
909;1800-1900;Mo-Fr;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1900-2100;;USA;Voice of America;E;Af;/BOT;1;;
918;0600-0605;;CBG;National Radio Cambodia;E;SEA;ka;1;;
918;0605-0610;;CBG;National Radio Cambodia;F;SEA;ka;1;;
918;1200-1205;;CBG;National Radio Cambodia;E;SEA;ka;1;;[1117]
918;1205-1210;;CBG;National Radio Cambodia;F;SEA;ka;1;;[1117]
918;2200-1700;;CBG;National Radio Cambodia;KH;SEA;ka;1;;[0318]
918;1730-1735;;IND;AIR Delhi;E;SAs;su;1;;[0318]
918;1735-1740;;IND;AIR Delhi;HI;SAs;su;1;;
918;0025-0350;;IND;AIR Suratgarh;HI;SAs;su;1;;
918;0350-0445;Su;IND;AIR Suratgarh;HI;SAs;su;1;;
918;0700-0940;;IND;AIR Suratgarh;HI;SAs;su;1;;
918;1130-1730;;IND;AIR Suratgarh;HI;SAs;su;1;;[0418]
920;0000-2400;;PRG;Radio Nacional Paraguay;S;PRG;c;1;;
927;1930-2000;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2000-2030;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2030-2100;;ALG;Radio Algiers Int.;F;NAf;tm;1;;
927;2100-2130;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2130-2200;;ALG;Radio Algiers Int.;E;NAf;tm;1;;
927;2200-2230;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2230-2300;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;1600-1630;;J;NHK Radio Japan;R;CAs;/TJK;1;;
927;1630-1700;;J;NHK Radio Japan;FS;IRN;/TJK;1;;
927;1700-1730;;J;NHK Radio Japan;UR;SAs;/TJK;1;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
954;0615-0630;Fr;IND;FEBA India;HI;SAs;nj;1;;
963;1000-1100;;CHN;China Radio Int.;R;FE;;1;;
963;1100-1200;;CHN;China Radio Int.;R;FE;;1;;
963;1200-1300;;CHN;China Radio Int.;R;FE;;1;;
963;1300-1400;;CHN;China Radio Int.;R;FE;;1;;
963;1400-1500;;CHN;China Radio Int.;R;FE;;1;;
963;1500-1600;;CHN;China Radio Int.;R;FE;;1;;
963;1303-1330;;TUN;Radio Tunis Chaine Int.;E;TUN;;1;;[0216]
963;1330-1400;;TUN;Radio Tunis Chaine Int.;I;TUN;;1;;
963;1400-1903;;TUN;Radio Tunis Chaine Int.;F;TUN;;1;;
963;1903-1930;;TUN;Radio Tunis Chaine Int.;S;TUN;;1;;[1015]
963;1930-2000;;TUN;Radio Tunis Chaine Int.;D;TUN;;1;;[0218]
963;2000-1303;;TUN;Radio Tunis Chaine Int.;F;TUN;;1;;[0318]
972;0350-1400;;KOR;KBS Hanminjok;K;FE;d;1;;
972;1400-2400;;KOR;KBS Hanminjok;K;FE;d;1;;[0318]
972;1400-0200;;USA;VoA Radio Aap ki Dunya;UR;SAs;/TJK-o;1;;
981;1230-1300;Mo-Fr;J;NHK Radio Japan;T;THA;/THA;1;;
990;0000-2400;;USA;Radio Sawa;A;ME;/CYP-g;1;;
999;1800-1815;;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1815-1830;SaSu;USA;Trans World Radio;R;EEu;/MDA;2;;[0917]
999;1815-1830;Mo-Fr;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1830-1915;Su-Tu;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1830-1915;Sa;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1915-1930;Mo;USA;Trans World Radio;BY;EEu;/MDA;2;;
999;1915-1930;Tu-Su;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1930-2000;;USA;Trans World Radio;RO;EEu;/MDA;2;;
1008;1500-1600;;EGY;Radio Cairo;R;ISR;ea;1;;
1008;1600-1640;;EGY;Radio Cairo;E;ISR;ea;1;;
1008;1700-2200;;EGY;Radio Cairo;HB;ISR;ea;1;;
1017;1100-1500;;CHN;China Radio Int.;K;FE;cc;1;;
1017;1000-1100;;CHN;China National Radio 8;K;CHN;cc;1;;
1035;0300-0500;;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1035;1700-1800;135;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1035;1800-2000;;USA;Trans World Radio;R;EEu;/EST-tt;1;;
1044;1100-1600;;CHN;China Radio Int.;J;FE;ch;1;;
1053;1530-1545;;IND;AIR Delhi;E;SAs;t;1;;
1053;1545-1600;;IND;AIR Delhi;E;SAs;t;1;;
1053;0000-0045;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;0045-0115;;IND;All India Radio GOS;SI;CLN;t;1;;
1053;0115-0330;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1000-1100;;IND;All India Radio GOS;E;CLN;t;1;;
1053;1100-1300;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1300-1500;;IND;All India Radio GOS;SI;CLN;t;1;;
1053;1500-1530;;IND;All India Radio GOS;TAM;CLN;t;1;;
1053;1030-1100;Th;ROU;Radio Iasi;R;ROU;;2;;
1053;1030-1100;We;ROU;Radio Iasi;UK;ROU;;2;;
1053;1730-1800;We;ROU;Radio Iasi;R;ROU;;2;;
1060;0000-2400;;CAN;CFVP Calgary Funny AM;E;WNA;c;1;;[0617]
1060;0500-0530;;F;Radio France Int.;S;CAm;/MEX-e;2;;
1060;2300-0501;;MEX;Radio Educación;S;CAm;e;2;;
1060;0501-2300;;MEX;Radio Educación;S;CAm;e;2;;
1062;0000-0030;Su;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0000-0100;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0000-0130;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0030-0100;Su;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0100-0130;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0130-0200;Sa;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0130-0530;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0200-0300;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0300-0530;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0530-0600;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0530-0800;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0600-0700;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0700-0900;Mo-Fr;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0800-0900;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0900-0930;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0900-0930;Sa;PHL;FEBC Manila;TBL;PHL;ko;1;;
1062;0930-1000;Mo;PHL;FEBC Manila;CEB;PHL;ko;1;;
1062;0930-1000;We;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0930-1000;Tu;PHL;FEBC Manila;ILC;PHL;ko;1;;
1062;0930-1000;Th;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0930-1000;Sa;PHL;FEBC Manila;MNB;PHL;ko;1;;
1062;0930-1000;Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;1000-1030;Sa;PHL;FEBC Manila;TGB;PHL;ko;1;;
1062;1000-1230;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;1030-1045;Sa;PHL;FEBC Manila;-MX;PHL;ko;1;;
1062;1045-1100;Sa;PHL;FEBC Manila;AKL;PHL;ko;1;;
1062;1100-1130;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;1130-1145;Sa;PHL;FEBC Manila;CEB;PHL;ko;1;;
1062;1145-1200;Sa;PHL;FEBC Manila;KRY;PHL;ko;1;;
1062;1200-1230;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2100-2130;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2100-2130;Su-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;2130-2200;Su-Th;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;2130-2230;Fr;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;2130-2230;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;2200-2300;Su-Th;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2230-2300;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2230-2400;Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2300-2400;Sa-Th;PHL;FEBC Manila;TAG;PHL;ko;1;;
1071;1835-1840;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
1071;2035-2040;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
1071;0015-0100;;IND;All India Radio GOS;UR;PAK;r;1;;
1071;0100-0200;;IND;All India Radio GOS;SD;PAK;r;1;;
1071;0200-0430;;IND;All India Radio GOS;UR;PAK;r;1;;
